topic,word_count,study_times,total_time_mins,gap_days,confidence,quiz_score,days_since_last,burn_rate_days
Data Structures,4323,4,129,13,6,42,28,1
History,1511,3,139,9,4,82,14,4
Anatomy,3220,10,48,8,5,75,20,2
English,1648,7,182,11,5,48,13,2
Biochemistry,4945,4,304,10,10,82,18,10
Cost Accounting,3733,9,405,11,3,79,14,2
Social Studies,3807,6,449,13,1,96,15,1
Pathology,3031,8,136,4,8,37,15,10
Science,589,1,152,13,9,78,0,13
English,1605,7,226,12,1,96,13,1
Biochemistry,2643,4,273,2,7,93,16,13
Software Engineering,1067,3,189,10,8,36,1,11
Software Engineering,3692,6,357,10,2,53,20,1
Mathematics,1621,13,183,13,3,77,26,1
History,3938,14,300,3,8,32,4,15
Hindi,556,15,262,8,8,92,6,11
History,2199,2,270,9,7,77,3,14
Cost Accounting,3967,6,231,6,3,36,22,2
Auditing,4686,4,356,8,9,57,7,15
Anatomy,554,13,138,9,1,63,12,1
Machine Learning,1498,13,39,4,5,79,28,1
Economics,938,11,54,1,4,60,1,13
Computer Networks,2950,12,358,8,5,91,22,3
Microbiology,4409,12,34,10,6,42,13,4
Biochemistry,406,5,414,3,1,34,5,9
Microbiology,2625,12,433,3,3,42,9,9
Algorithms,3302,10,49,6,10,95,24,8
Chemistry,1131,4,133,10,9,98,27,3
Biology,2741,5,42,6,9,91,28,5
Biochemistry,4215,14,251,7,9,72,19,8
Mathematics,2016,3,306,8,7,61,30,3
Data Structures,3417,4,254,5,8,62,9,14
Physiology,640,7,110,6,2,35,29,1
Physics,3121,12,332,11,10,37,26,2
Corporate Finance,2270,2,263,1,6,38,15,13
Mathematics,2461,10,191,8,7,33,29,1
Pathology,915,8,303,12,3,97,9,2
Physiology,4912,6,91,3,7,92,30,6
Pharmacology,549,8,397,7,6,55,30,1
Physics,1901,7,458,13,7,36,6,7
Physiology,1024,12,419,10,1,31,21,1
Economics,5000,13,408,3,1,97,3,12
Computer Networks,1875,2,108,2,1,49,7,8
Artificial Intelligence,3852,12,351,14,9,45,16,4
DBMS,1431,7,59,4,7,80,4,13
Cost Accounting,321,10,172,4,7,64,30,2
Cyber Security,3321,12,480,9,9,33,7,11
Artificial Intelligence,586,9,390,2,3,77,10,9
Mathematics,2607,1,175,5,10,92,14,16
Mathematics,3507,12,186,9,2,45,21,1
Physiology,941,7,399,5,7,77,24,6
Economics,3808,12,341,10,6,78,20,3
Biochemistry,3873,10,349,9,5,44,14,5
Physiology,318,1,80,3,3,33,2,10
History,2541,12,236,9,10,40,26,3
Compiler Design,1916,11,59,4,8,71,6,13
Corporate Finance,2078,12,439,3,10,71,15,14
Cost Accounting,3864,2,69,9,7,41,21,3
English,2899,3,396,4,4,53,8,13
Mathematics,2929,12,437,8,6,70,11,8
Software Engineering,4797,15,144,14,3,100,20,1
Compiler Design,1605,2,179,2,4,35,6,12
Geography,3776,3,111,7,6,97,5,12
Artificial Intelligence,4040,10,181,11,4,40,8,4
Machine Learning,3065,5,347,4,10,83,12,16
Physics,695,14,181,6,7,64,14,7
Software Engineering,4635,9,339,8,3,63,18,3
Economics,412,6,173,13,10,92,8,8
Cyber Security,1344,5,150,6,4,41,30,1
English,4582,10,428,1,10,64,11,18
Social Studies,2496,6,54,4,5,62,21,4
Physiology,624,7,211,10,10,99,0,14
Geography,3465,2,73,12,3,42,25,1
Auditing,4207,15,431,7,8,88,14,10
History,2785,1,423,4,9,92,7,25
Algorithms,3797,12,320,13,5,77,22,1
Software Engineering,4185,10,386,10,9,86,17,8
Auditing,1635,1,455,14,1,51,10,7
Physiology,2617,5,430,14,10,94,29,2
Science,346,6,115,11,6,100,14,3
Hindi,1365,1,333,11,9,74,21,11
English,3289,11,297,14,3,36,27,1
English,2371,3,237,1,8,47,26,10
Biochemistry,2838,3,370,1,4,56,12,14
Geography,4690,2,309,8,9,30,29,7
Anatomy,4049,10,95,12,5,94,26,1
Pathology,2543,12,193,9,2,45,1,5
Physiology,2013,12,207,8,9,90,5,13
Data Structures,4340,15,254,12,9,58,17,5
Cost Accounting,2890,4,120,9,8,40,15,6
Management Accounting,4251,13,52,14,1,41,20,1
DBMS,646,1,419,5,10,98,19,20
Biochemistry,2213,12,302,14,3,34,26,1
Physiology,1228,11,351,9,1,61,28,1
Machine Learning,4391,10,160,6,10,77,5,16
DBMS,4725,15,406,13,5,69,25,1
Software Engineering,1364,3,332,1,10,84,15,18
DBMS,3921,3,116,5,3,79,24,3
Financial Accounting,445,13,71,1,2,89,25,2
Machine Learning,2922,8,182,14,9,42,4,7
Social Studies,4163,9,374,12,1,32,22,1
Economics,1861,8,251,7,1,97,6,6
Auditing,2398,1,46,2,5,37,25,4
English,1093,12,422,1,9,42,30,7
English,1583,11,45,10,4,79,1,6
Mathematics,4236,11,183,7,6,96,5,12
Management Accounting,2867,3,114,5,1,37,25,1
Pharmacology,1196,9,184,12,6,98,6,6
Biology,4880,4,479,6,10,35,27,10
Software Engineering,3133,2,300,2,7,93,28,11
Mathematics,3256,15,436,9,8,62,9,10
Management Accounting,3721,2,148,5,3,69,3,12
Cost Accounting,722,7,103,11,10,50,27,1
English,2476,4,390,9,10,93,4,17
Artificial Intelligence,1256,11,418,13,10,80,1,11
Microbiology,1024,5,226,1,2,48,18,5
Biochemistry,1981,6,167,1,9,62,11,15
English,1334,5,44,6,5,40,13,5
Auditing,3311,5,69,7,6,52,18,4
Science,3383,2,341,6,4,67,10,12
Mathematics,1959,6,313,13,8,75,3,9
Social Studies,3824,7,77,6,7,35,15,7
Anatomy,3598,11,462,13,6,88,30,1
DBMS,412,2,408,10,10,74,22,10
Management Accounting,3584,12,341,1,2,34,29,1
Economics,2522,4,309,13,10,32,28,1
Hindi,4845,7,240,3,2,76,22,5
Machine Learning,4614,12,123,4,9,54,11,13
Microbiology,3806,9,30,1,3,83,10,10
Chemistry,1824,10,370,8,3,100,18,2
Chemistry,715,14,393,5,5,78,2,12
Financial Accounting,312,7,242,14,9,73,21,1
History,3863,9,295,1,7,67,29,8
History,4225,2,312,7,9,41,2,19
Auditing,2877,14,122,5,2,90,3,9
Data Structures,912,4,105,13,5,61,12,1
DBMS,1541,15,189,9,5,30,25,1
Cyber Security,3018,8,38,13,1,70,10,1
English,4713,8,399,12,7,36,21,2
Algorithms,1370,15,271,6,6,69,16,6
Science,4653,14,403,13,5,46,20,1
Physics,1927,4,282,10,2,99,27,1
DBMS,2423,1,196,4,4,46,22,7
Anatomy,2008,9,171,14,5,60,7,2
Mathematics,985,4,342,7,10,77,8,15
Biochemistry,754,2,192,6,6,67,0,14
Computer Networks,4679,7,219,10,8,79,15,8
Science,3975,8,126,6,1,82,12,4
Biology,3287,8,423,12,8,100,5,11
Science,4163,6,466,9,4,96,21,4
Operating Systems,3980,10,374,7,9,69,4,15
Mathematics,2611,3,84,9,4,36,12,3
Computer Networks,4282,4,344,14,5,95,16,3
Physics,1523,9,106,5,3,89,10,6
Chemistry,1849,12,265,4,7,33,23,5
Physiology,2811,3,453,11,2,84,29,1
Anatomy,1942,7,47,6,6,73,1,12
Corporate Finance,4321,10,415,13,6,62,26,1
Economics,679,3,141,13,5,94,26,1
Computer Networks,3468,7,101,8,8,38,21,4
Biology,558,8,53,5,4,60,22,1
Microbiology,318,6,176,2,7,35,0,15
Operating Systems,3214,3,57,4,2,69,22,2
Cost Accounting,996,14,103,11,5,67,29,1
Management Accounting,4131,8,113,7,10,32,0,16
Mathematics,1024,11,361,1,1,91,16,6
Anatomy,3146,10,462,5,7,31,5,13
Corporate Finance,4136,3,329,10,1,85,22,1
Hindi,3926,10,463,4,7,54,18,10
Biology,682,9,176,8,5,32,29,1
Economics,1266,12,263,5,3,76,8,7
Pharmacology,894,12,116,6,7,93,2,13
Biology,1170,5,183,11,5,64,21,1
Anatomy,4678,2,475,1,5,77,25,14
Mathematics,306,7,252,7,7,84,22,4
Microbiology,4804,13,273,9,7,88,2,13
Financial Accounting,2140,10,117,12,7,91,9,6
Cost Accounting,3788,11,122,3,5,96,9,12
Software Engineering,749,9,227,3,2,91,24,2
Science,4730,15,461,12,3,35,16,1
DBMS,1740,12,295,4,1,81,24,1
Cost Accounting,3074,13,174,6,6,63,3,12
Physiology,2244,6,465,9,4,87,22,3
Machine Learning,3932,12,376,4,10,77,20,12
Corporate Finance,3537,8,393,1,4,84,20,9
English,1573,3,158,5,6,78,23,5
Pathology,1810,5,350,5,6,97,11,12
Artificial Intelligence,919,7,128,3,2,68,4,9
Software Engineering,2397,11,382,3,6,83,6,14
Chemistry,4555,13,163,9,8,96,30,2
Algorithms,4721,11,33,11,8,62,8,8
Mathematics,3796,14,143,1,7,33,9,13
English,3716,5,48,2,7,35,1,16
Geography,2240,8,407,4,1,52,8,7
Economics,1394,8,462,9,4,88,3,9
Physiology,1914,4,305,5,9,71,27,8
DBMS,1071,13,274,8,2,60,4,5
English,3012,9,394,9,2,60,13,2
Science,2995,1,317,10,7,98,0,19
Data Structures,2832,14,285,11,5,68,17,1
Physiology,398,12,106,6,6,95,21,4
English,1373,8,474,7,8,84,7,13
Mathematics,381,10,102,10,10,87,19,5
Mathematics,4734,4,419,3,2,86,6,14
Corporate Finance,2319,5,103,12,2,57,20,1
Hindi,2856,6,257,13,7,94,9,7
Science,2720,5,424,9,7,91,6,13
Cyber Security,2761,15,136,1,7,64,1,17
Machine Learning,1866,2,301,5,10,53,19,13
Geography,4340,9,59,11,10,32,14,7
Microbiology,1072,7,46,5,2,41,22,1
Science,1758,11,116,14,8,75,14,2
Physiology,1309,9,115,11,2,76,1,4
Science,3047,6,247,5,2,96,26,1
Chemistry,2620,8,227,9,8,78,24,4
Management Accounting,1808,10,433,6,4,49,12,6
English,788,8,333,9,9,52,6,11
English,4459,2,33,4,4,34,12,7
Computer Networks,3021,3,184,4,1,77,16,5
Computer Networks,1187,11,330,12,2,51,15,1
Microbiology,2988,5,140,11,9,75,30,1
DBMS,1402,6,58,4,5,97,27,3
Pathology,2364,5,451,6,6,91,8,13
History,4798,4,91,5,4,98,27,3
English,3096,10,43,5,5,45,2,11
Compiler Design,3024,14,256,11,3,60,9,2
DBMS,3187,7,40,4,6,98,8,12
English,3845,12,283,3,10,84,5,19
Cyber Security,2352,14,448,10,2,94,26,1
Pathology,1611,1,217,13,10,94,10,12
Financial Accounting,2124,7,310,3,9,75,5,17
Financial Accounting,625,14,101,10,3,60,5,3
Economics,3638,9,356,13,10,71,12,8
Microbiology,2363,15,343,10,5,76,9,5
Microbiology,4406,15,324,6,4,37,25,1
Compiler Design,3570,15,317,14,5,67,17,1
Chemistry,2835,7,343,1,6,50,18,11
Pathology,2070,7,407,14,4,68,2,5
Social Studies,4724,10,209,12,8,43,27,1
History,4815,13,279,5,5,87,4,13
Machine Learning,4937,15,344,6,8,94,5,15
Algorithms,1065,9,296,9,1,65,30,1
Chemistry,3600,15,174,13,8,97,17,4
Pathology,1629,11,468,11,3,55,15,1
Compiler Design,422,14,301,12,10,90,8,9
Pathology,3555,15,249,8,4,44,20,1
Biochemistry,4287,6,354,1,10,95,18,17
Chemistry,3529,13,245,12,5,85,27,1
Social Studies,3178,6,317,12,1,91,30,1
Data Structures,3473,7,39,14,4,37,24,1
Anatomy,741,4,373,8,3,34,30,1
Hindi,4758,7,176,13,5,43,13,2
Biochemistry,487,13,253,6,10,45,27,4
Financial Accounting,553,9,367,1,9,79,24,11
Hindi,2227,12,221,5,7,46,29,2
Microbiology,1090,4,69,14,9,42,28,1
DBMS,1537,10,320,7,10,98,16,11
Biology,2305,3,217,10,9,35,25,3
Financial Accounting,1943,2,83,1,10,75,15,15
Pharmacology,2059,14,298,14,10,55,24,1
Anatomy,4944,13,105,11,7,71,22,2
Biology,2121,10,261,9,10,68,11,10
Algorithms,2231,8,226,10,4,31,22,1
Chemistry,4304,15,263,7,4,65,29,1
Physics,1250,3,130,1,7,39,20,9
Chemistry,2734,10,479,9,1,36,9,2
Physiology,1415,4,157,6,5,32,15,5
Physics,3498,9,301,3,7,56,4,15
Financial Accounting,4088,3,429,8,5,69,24,6
Economics,1317,15,288,6,4,93,8,8
History,3578,10,291,10,10,79,30,3
Pathology,3891,1,273,14,7,42,5,11
Physics,4094,15,340,7,3,82,14,5
Pathology,2955,8,90,7,2,34,12,2
Algorithms,4040,12,390,11,6,57,0,10
Mathematics,998,5,480,3,9,49,14,14
Anatomy,316,6,69,9,10,100,18,7
Mathematics,4391,3,121,12,6,31,2,8
Microbiology,3531,6,288,2,7,86,22,11
Anatomy,353,2,384,1,5,76,22,12
History,1174,11,332,1,4,88,22,7
Social Studies,397,1,353,5,2,56,24,7
Biology,3989,11,206,6,4,32,20,3
Geography,2678,1,227,1,2,37,6,14
Compiler Design,976,7,117,1,4,87,23,5
Geography,4106,3,137,4,4,85,22,6
Management Accounting,424,7,36,6,9,88,23,6
Corporate Finance,3913,14,307,7,5,74,2,11
Economics,3274,1,375,12,4,67,20,7
History,1412,4,222,10,8,76,11,8
English,2265,6,227,14,6,31,2,5
Cyber Security,4219,1,370,3,8,66,6,24
Physiology,1505,9,113,9,2,69,21,1
Management Accounting,3910,8,324,1,6,98,25,9
Science,1636,4,252,1,8,65,22,11
Biochemistry,2889,10,133,13,3,97,16,1
Machine Learning,1166,6,307,10,5,66,12,4
DBMS,4650,1,452,2,2,40,4,21
Operating Systems,4828,13,255,5,1,30,3,8
Social Studies,2318,10,216,11,4,95,29,1
Artificial Intelligence,2467,10,78,4,4,90,7,10
Economics,3317,8,120,9,10,85,3,14
Management Accounting,2457,1,327,5,7,93,27,12
Pathology,4485,13,279,2,9,49,6,17
Science,4764,6,148,8,8,68,19,7
Artificial Intelligence,1717,7,106,5,7,42,9,10
Mathematics,3160,12,403,14,3,68,8,1
Physiology,2188,15,215,2,8,68,30,6
Financial Accounting,4490,4,480,2,9,75,3,23
Geography,4513,8,251,9,1,33,26,1
Corporate Finance,4881,3,439,10,1,55,11,6
Pathology,1515,7,318,7,8,56,30,2
Operating Systems,1699,13,313,7,4,33,18,2
Mathematics,2566,2,450,5,10,67,27,13
Geography,3684,9,428,5,9,47,16,11
Anatomy,2789,1,430,5,10,90,12,24
Physics,1402,4,311,1,5,98,4,17
Data Structures,1781,15,132,9,5,43,5,6
Software Engineering,1347,8,363,14,7,86,29,1
DBMS,2021,2,167,6,5,62,29,2
DBMS,2137,2,469,14,3,30,26,1
English,1409,2,448,9,1,49,18,4
Computer Networks,3881,3,258,3,7,86,22,11
Economics,2899,3,225,14,5,78,4,6
Mathematics,1984,2,363,13,1,83,8,4
Science,675,15,449,8,8,58,21,4
Biochemistry,4312,10,418,11,3,30,27,1
Auditing,3944,8,198,4,2,73,17,5
Geography,542,14,349,5,4,64,11,6
Hindi,3702,7,271,8,7,84,27,3
Data Structures,4131,11,234,10,10,98,11,11
Computer Networks,1817,11,361,10,8,35,20,3
Microbiology,4962,11,194,6,1,64,13,4
English,1878,1,395,11,5,41,7,13
Physics,2964,4,249,9,1,61,11,3
Software Engineering,1651,15,288,12,9,78,0,11
Economics,4522,12,429,9,2,84,26,1
Machine Learning,4499,6,392,13,6,70,10,6
Software Engineering,2485,8,222,10,1,48,16,1
Financial Accounting,1567,4,401,4,3,83,27,4
DBMS,2376,6,69,10,4,41,11,2
History,4531,15,125,9,4,85,11,5
Microbiology,4232,12,473,5,9,79,3,18
Mathematics,4196,2,254,2,7,64,29,10
DBMS,3814,15,111,11,6,68,1,9
Microbiology,854,12,179,10,7,62,2,9
Algorithms,3208,13,438,2,10,87,22,13
Computer Networks,4712,7,182,8,6,31,14,6
Biology,4017,14,468,2,4,57,2,14
Machine Learning,2116,6,456,12,1,62,4,3
Mathematics,3488,4,228,7,7,44,12,9
Biology,572,8,96,9,1,50,30,1
English,4545,7,378,8,7,100,18,9
DBMS,1726,4,345,13,10,88,24,4
Pathology,4753,3,221,6,5,59,19,7
English,674,2,398,7,2,36,6,10
Microbiology,4925,5,228,11,2,84,29,1
Data Structures,4573,9,316,9,3,79,22,1
Physics,3283,5,266,4,10,52,20,12
Computer Networks,4259,4,87,2,1,72,25,2
Financial Accounting,1913,8,98,14,5,68,23,1
Chemistry,948,7,362,2,3,82,24,4
Computer Networks,2692,5,307,11,5,78,4,8
Pathology,392,10,370,2,7,49,17,9
Management Accounting,1658,6,384,11,7,73,21,3
Hindi,1444,3,359,2,1,49,24,4
Operating Systems,3424,13,79,13,10,57,20,3
English,4478,10,38,6,3,56,8,7
Anatomy,3654,14,86,12,1,65,29,1
Physiology,1202,5,195,3,2,57,14,5
Mathematics,3899,5,446,2,6,76,28,9
Pharmacology,3992,15,35,4,10,90,4,18
DBMS,4735,6,431,6,8,87,10,15
Corporate Finance,1149,9,136,7,9,91,5,13
Mathematics,1823,13,109,3,4,65,26,2
History,1900,6,190,10,7,76,29,1
Hindi,4169,3,360,1,5,50,18,13
Geography,4639,14,60,11,9,93,18,6
Mathematics,2518,15,387,14,1,79,29,1
History,1983,13,374,1,7,38,8,14
Operating Systems,2787,13,66,10,4,51,19,1
Compiler Design,4916,7,75,12,10,71,18,6
Software Engineering,1971,11,196,12,6,46,29,1
DBMS,2095,2,364,2,6,68,6,19
Chemistry,2375,11,152,12,4,36,11,1
Pharmacology,2140,5,255,1,7,75,9,16
Science,3792,1,468,11,9,81,21,15
Auditing,2329,13,386,9,6,48,16,4
Compiler Design,3523,15,116,8,8,67,14,8
Artificial Intelligence,4514,6,33,8,5,48,24,1
Software Engineering,1098,13,193,10,2,68,19,1
Pharmacology,1707,1,326,5,8,45,6,19
Management Accounting,3110,5,369,1,8,30,28,9
DBMS,3836,14,275,14,2,99,4,3
History,1310,11,274,14,7,74,22,1
Algorithms,465,11,142,5,5,96,21,4
Computer Networks,4396,2,176,5,6,55,26,6
Compiler Design,1284,11,439,7,5,40,14,5
Biochemistry,3182,8,448,6,8,71,10,13
Computer Networks,4126,8,412,13,6,58,29,1
Compiler Design,4923,5,334,7,8,96,24,8
Mathematics,1818,12,164,14,9,41,8,5
Biochemistry,2761,1,216,8,2,79,8,9
Anatomy,3592,10,136,5,8,40,20,7
Cost Accounting,1875,6,341,4,3,73,25,3
History,576,14,413,8,7,88,9,9
Science,3908,14,41,14,10,75,5,9
Auditing,3735,9,38,9,3,78,1,7
Microbiology,2286,3,55,11,7,81,22,1
Computer Networks,2515,11,72,2,9,66,5,16
Physiology,1627,9,184,13,10,81,18,4
Biology,350,3,470,1,8,66,25,13
Hindi,4886,11,124,3,8,84,21,10
Geography,732,13,180,8,8,40,22,3
Biology,4162,11,65,11,2,52,24,1
Cost Accounting,1416,4,420,4,4,60,5,13
Compiler Design,4689,3,112,7,3,53,10,6
Artificial Intelligence,3719,5,241,13,5,42,8,4
Cost Accounting,4749,6,83,4,2,80,5,10
Biology,394,10,267,10,10,46,26,2
Auditing,654,9,470,11,3,69,30,1
Anatomy,3791,8,85,1,3,61,7,11
Corporate Finance,511,15,319,4,10,36,13,11
Artificial Intelligence,4282,1,480,7,1,66,18,12
Economics,4161,9,224,14,4,70,20,1
Corporate Finance,1137,15,30,6,7,68,22,4
English,3607,5,355,3,6,57,30,6
Physics,3319,9,476,14,9,52,21,2
Chemistry,438,10,83,8,6,79,2,9
Data Structures,332,11,337,1,1,98,9,9
Cyber Security,3454,15,373,1,6,90,24,9
Economics,3312,3,103,8,6,47,14,6
Algorithms,2681,10,126,5,9,70,2,16
Microbiology,4229,3,238,13,6,67,0,10
History,1300,7,156,10,9,60,23,3
Operating Systems,1240,15,386,10,3,67,6,4
Auditing,600,3,268,11,4,30,0,7
Geography,4809,6,364,13,10,51,22,5
Anatomy,4346,12,435,13,6,42,12,3
Hindi,1939,6,451,1,4,68,7,14
DBMS,1893,12,61,6,10,70,0,16
English,318,3,312,3,5,62,23,7
Microbiology,2436,11,81,8,9,93,22,6
Social Studies,1860,8,444,4,7,51,19,9
Mathematics,2913,2,147,3,10,65,30,9
Pathology,1039,5,460,10,3,66,21,1
Physics,2866,1,38,13,9,36,24,1
Compiler Design,3683,9,338,3,1,74,16,5
Microbiology,4186,4,50,7,8,81,15,9
History,2904,2,479,3,4,94,19,14
Science,1632,12,39,8,2,74,29,1
Artificial Intelligence,425,11,262,14,9,63,10,4
Microbiology,515,2,61,10,3,31,5,3
Mathematics,3557,13,445,8,2,37,29,1
Computer Networks,3933,15,44,2,8,72,19,11
Algorithms,3359,13,109,3,1,37,11,5
Cost Accounting,4199,1,306,11,6,61,17,9
Physiology,4594,12,238,11,2,92,11,2
Cost Accounting,4633,13,314,14,5,32,22,1
Social Studies,345,8,168,2,8,90,28,7
Anatomy,3521,11,153,14,10,68,0,11
Auditing,4481,5,137,1,10,69,2,21
Pathology,3447,6,285,10,2,71,20,1
DBMS,4982,3,303,10,8,98,4,15
DBMS,3997,3,104,13,9,94,30,1
Hindi,2760,4,135,6,7,72,23,5
Biology,3468,10,116,6,5,74,0,12
Science,572,13,425,11,2,30,14,1
Compiler Design,3328,9,418,3,9,37,1,19
Economics,3171,13,415,13,10,52,9,8
Chemistry,4624,1,73,7,9,91,23,9
Anatomy,2366,11,288,5,9,53,9,13
Software Engineering,4298,12,123,6,7,70,6,12
Pharmacology,1333,13,390,13,6,92,16,2
Physics,2228,13,219,3,1,52,17,3
Hindi,4580,6,115,14,1,57,10,1
Data Structures,3937,4,79,2,6,56,27,6
Anatomy,3613,12,48,1,8,92,29,8
Physics,756,1,366,1,6,90,24,15
Machine Learning,1971,8,407,4,7,98,13,12
Physics,3490,14,224,6,8,74,4,14
Geography,4170,9,449,6,6,76,10,11
Anatomy,1949,3,178,7,2,66,12,4
Artificial Intelligence,1546,3,235,1,6,64,6,16
Management Accounting,1029,1,208,13,4,73,16,3
Cost Accounting,1068,7,230,13,10,64,27,1
Social Studies,3105,11,78,11,6,83,15,3
Social Studies,4912,4,429,10,3,81,27,1
Biology,3974,8,401,11,4,38,5,6
Management Accounting,3854,14,353,9,6,33,23,1
Pathology,3772,7,333,6,1,80,22,1
DBMS,1788,15,364,8,8,47,9,9
English,2046,13,31,8,10,81,9,11
Cost Accounting,3093,12,228,9,4,89,14,4
Mathematics,864,12,211,9,1,88,28,1
Mathematics,3545,4,264,2,8,63,23,11
Physics,1374,7,311,10,3,91,22,1
Artificial Intelligence,3634,5,153,12,9,88,16,6
English,4728,2,144,6,8,32,19,9
Chemistry,4864,12,127,14,9,96,19,4
Artificial Intelligence,582,1,301,9,4,89,17,8
Machine Learning,3144,12,472,6,9,66,28,6
English,4122,12,295,1,5,92,20,10
Chemistry,1373,7,203,6,5,63,17,5
English,998,10,419,5,1,76,27,1
Cost Accounting,3438,3,98,3,8,53,26,7
English,637,1,98,10,3,84,4,6
Compiler Design,4033,7,390,6,7,47,16,9
Operating Systems,2769,13,369,1,2,64,12,9
Auditing,2665,4,98,5,3,65,24,1
Geography,2655,15,345,11,4,58,8,4
Cost Accounting,3447,9,46,3,7,64,20,8
Hindi,2054,5,466,10,3,79,3,9
Science,2083,5,463,10,2,72,10,5
Economics,3664,9,41,5,3,86,20,3
Machine Learning,4119,9,234,14,7,56,22,1
Economics,512,6,45,4,6,95,6,11
Management Accounting,2745,3,345,7,7,99,8,14
Hindi,3352,10,237,14,2,66,27,1
Anatomy,2046,5,338,4,9,37,5,16
Biology,4977,9,319,2,5,33,19,8
English,1520,1,140,10,4,69,25,1
Physiology,3430,9,125,2,1,42,21,2
Geography,2132,10,163,6,2,41,10,4
Physiology,3318,15,121,4,2,68,20,2
Cost Accounting,1485,10,320,12,9,92,13,7
History,3308,9,302,6,3,43,17,3
Social Studies,997,10,112,14,2,49,23,1
Social Studies,708,12,346,11,10,90,11,9
Computer Networks,2115,14,32,11,7,72,13,4
English,3687,8,430,11,8,73,18,6
Chemistry,517,2,317,1,2,98,14,12
Corporate Finance,2618,1,210,1,8,94,8,21
Cyber Security,1023,13,442,3,5,58,27,3
Geography,4931,9,394,6,7,86,15,11
Financial Accounting,4317,13,143,3,9,42,21,10
Management Accounting,1800,1,60,1,5,44,24,6
Artificial Intelligence,4724,4,67,10,4,49,4,6
History,4189,12,142,6,5,90,6,11
Algorithms,3034,5,357,13,3,89,22,1
Pathology,1852,9,387,4,8,98,24,9
Corporate Finance,3105,4,450,6,9,36,19,11
Cyber Security,3057,6,392,14,1,44,14,1
Social Studies,919,12,197,7,6,36,14,5
English,3800,13,252,3,7,47,5,14
Biology,1106,15,117,1,9,43,15,12
English,3369,4,431,7,10,38,2,18
Financial Accounting,3478,12,335,8,1,75,4,6
Operating Systems,1276,9,381,1,3,83,0,15
Social Studies,2764,6,378,8,3,46,13,4
Management Accounting,4281,14,416,2,4,97,20,8
Physiology,4264,12,435,13,3,94,16,1
Data Structures,1898,10,91,7,10,39,29,3
Mathematics,4943,14,346,4,5,39,4,12
DBMS,1418,3,307,14,8,50,10,6
English,3519,6,480,2,8,69,3,20
Biochemistry,2386,14,49,12,5,92,3,6
English,1175,6,312,13,10,36,12,6
Geography,4655,7,457,1,1,93,9,12
Auditing,3751,2,207,5,2,71,8,10
Chemistry,1620,10,341,12,10,38,9,8
Science,1536,3,418,4,10,93,16,17
Algorithms,1117,11,57,11,2,74,1,3
Operating Systems,1985,8,231,11,8,93,25,2
History,3452,7,273,14,4,79,9,3
Physiology,2843,3,204,4,4,48,27,3
Artificial Intelligence,3244,15,446,12,6,41,10,4
Auditing,1501,2,222,5,7,31,3,15
Chemistry,2933,9,96,5,1,48,8,5
Geography,1706,11,298,12,1,41,27,1
Algorithms,4125,11,127,7,7,78,29,2
Mathematics,2239,2,220,2,8,94,27,11
Data Structures,4314,6,334,8,9,72,9,13
Corporate Finance,737,11,332,2,2,80,2,11
Hindi,1490,13,303,2,9,74,24,9
Data Structures,4764,15,135,12,3,87,2,6
Pharmacology,2561,2,87,7,7,37,0,13
Biology,1100,1,131,14,3,81,25,1
Corporate Finance,2523,2,400,3,8,61,18,16
Compiler Design,1731,4,434,3,10,51,16,15
Cost Accounting,822,7,73,11,6,90,21,1
Physiology,3467,12,460,4,6,86,25,6
Mathematics,1617,7,133,4,7,89,0,16
Microbiology,2684,9,232,1,2,99,15,8
DBMS,4608,15,248,11,3,80,6,5
Auditing,3914,15,332,12,1,71,19,1
English,3198,13,100,11,4,58,12,2
Financial Accounting,1728,11,208,1,2,76,29,1
Operating Systems,2818,13,418,1,9,53,11,16
Data Structures,4550,4,92,5,1,61,19,2
Algorithms,4061,9,192,1,9,44,14,14
Cost Accounting,2225,6,164,3,5,34,3,12
Science,1342,14,328,13,2,86,30,1
Economics,760,9,329,8,6,76,8,8
Operating Systems,1839,5,406,10,4,30,24,1
Economics,4023,7,82,5,6,36,6,11
Pathology,502,12,339,6,6,82,19,5
Auditing,1805,12,400,9,5,93,16,4
Biochemistry,4802,15,419,10,10,67,25,5
Mathematics,437,8,417,7,10,100,7,15
Cost Accounting,2588,8,80,13,2,45,20,1
Science,1105,9,341,3,10,48,12,14
Pathology,2749,3,204,13,3,92,9,3
Social Studies,4805,3,277,5,3,68,28,3
Economics,1578,9,350,2,5,57,28,4
Physiology,2370,8,378,1,9,32,21,12
Corporate Finance,1513,3,203,2,6,70,30,5
Geography,3134,7,281,1,3,91,12,11
Cyber Security,3611,1,260,12,3,96,7,9
Mathematics,2720,13,421,12,2,89,6,3
Pharmacology,2542,7,151,1,4,49,12,10
Financial Accounting,1157,6,302,11,6,41,17,2
Algorithms,3607,14,417,4,8,36,15,11
Data Structures,710,1,371,4,7,59,23,13
Biology,1215,14,105,6,3,40,29,1
Management Accounting,4472,14,434,9,1,30,5,4
Microbiology,4237,5,103,10,4,79,19,1
Auditing,4085,14,320,12,7,62,24,1
Science,2688,1,164,5,9,45,6,17
Biochemistry,4123,6,115,14,10,90,27,1
Physics,1143,2,477,13,3,47,26,1
Computer Networks,4519,1,405,13,9,35,26,9
